airline_id,name,iata,icao,active
635,Aero Servicios,,RVI,N
636,Airvallee,,RVL,N
637,Aeromover,,OVE,N
638,Aerovias Ejecutivas,,OVI,N
639,Aero Servicio Pity,,PTD,N
640,Aero Copter,,PTE,N
641,Rossiya-Russian Airlines,FV,SDM,Y
642,Air Pal,,PLL,N
643,Air Pullmantur,,PLM,N
644,Aviaexpress,RX,AEH,N
645,Aviones Para Servirle,,PSG,N
646,Avio Sluzba,,SLU,N
647,Air Scorpio,,SCU,N
648,Air Spirit,,SIP,N
649,Alatau Airlines,,BMV,N
650,Aviateca,,GUG,N
651,Aroostook Aviation,,PXX,N
652,Aeropycsa,,PYC,N
653,Association of Private Pilots of Kazakhstan,,PVK,N
654,The Amiri Flight,,BAH,N
655,Aero Services,,BAS,N
656,Ababeel Aviation,,BBE,N
657,Air Bashkortostan,,BBT,N
658,Ambulance Air Africa,,MCY,N
659,American Eagle Airlines,MQ,EGF,Y
660,Aeropuelche,,PUE,N
661,Aeroput,,PUT,N
662,Azzurra Air,,AZI,N
663,Airshop,FF,,N
664,African Transport Trading and Investment Company,ML,,N
665,AD Aviation,,VUE,Y
666,Aero Costa Taxi Aereo,,XCT,N
667,Aerovitro,,VRO,N
668,Aerotaxi Villa Rica,,VRI,N
669,Aerovega,,VEG,N
670,Aerovilla,,VVG,N
671,Aerolineas Villaverde,,VLR,N
672,Aero Air,,WIL,N
673,Aero Ejecutivos,,VEJ,N
674,Aero Industries Inc,,WAB,N
675,Aero Servicios Vanguardia,,VNG,N
676,Aero Taxi Los Valles,,VAD,N
677,Aero Vilamoura,,VMR,N
678,Aero Virel,,VLS,N
679,Aeronautical Radio Inc,,XAA,N
680,Aerovuelox,,VUO,N
681,Aeronaves TSM,,VTM,N
682,Air Ivoire,VU,VUN,Y
683,Air Botswana,BP,BOT,Y
684,Air-Rep,,XPR,N
685,Air Excel,,XLL,N
686,Air Evans,,VAE,N
687,Air Sorel,,WHY,N
688,Air Net Private Charter,,WDR,N
689,Air Executive Charter,,XEC,N
690,Air Foyle,GS,UPA,Y
691,Air Midwest,,VTY,N
692,Air Tahiti,VT,VTA,Y
693,Air Urga,3N,URG,N
694,Air Vardar,,VDR,N
695,Air VIA,VL,VIM,Y
696,Air Walser,,WLR,N
697,Aircompany Rosavia,,URA,N
698,Aircraft Performance Group,,XLB,N
699,Airwaves Airlink,,WLA,N
700,Airways Corporation of New Zealand,,XFX,N
701,Airways,,WAY,N
702,Airwings oy,,WGS,N
703,Airkenya,,XAK,N
704,Air-Lift Associates,,WPK,N
705,Airtrans Ltd,,VAB,N
706,ARP 410 Airlines,,URP,N
707,Auckland Regional Rescue Helicopter Trust,,WPR,N
708,Aurora Airlines,,URR,N
709,Austro Aereo,,UST,N
710,Aviation Partners,,WLT,N
711,Avialift Vladivostok,,VLV,N
712,Aviacion Comercial de America,,VME,N
713,Aviast Air,,VVA,N
714,Aviation North,,WLV,N
715,Africa West,FK,WTA,Y
716,Avient Air Zambia,,VNT,N
717,Aviazur,,VZR,N
718,Aviaprad,,VID,N
719,Avirex,G2,VXG,N
720,Aviaexpress Aircompany,,VXX,N
721,AMR Services Corporation,,XAM,N
722,Airline Operations Services,,XAO,N
723,Airlines 400,,VAZ,N
724,ATRAN Cargo Airlines,V8,VAS,Y
725,Ameravia,,VAM,N
726,Angkor Air,,VAV,N
727,AVB-2004 Ltd,,VBC,N
728,ASECNA,,XKX,N
729,AT and T Aviation Division,,XAT,N
730,Avalair,,VAI,N
731,Averitt Air Charter,,VRT,N
732,Avensa,VE,AVE,N
733,Avolar Aerolineas,V5,VLI,N
734,Avstar Aviation,,VSA,N
735,AVESCA,,VSC,N
736,Aviaprom Enterprises,,XAV,N
